University,Programme,Faculty,Field,Tuition Fees,Location
UMK,Bachelor of Entrepreneurship (Commerce) with Honours,Faculty of Entrepreneurship and Business,Business Management & Administration,950,West
UMK,Bachelor of Entrepreneurship (Logistics and Distributive Trade) with Honours,Faculty of Entrepreneurship and Business,Business Management & Administration,950,West
UMK,Bachelor of Entrepreneurship (Retailing) with Honours,Faculty of Entrepreneurship and Business,Business Management & Administration,950,West
UMK,Bachelor of Business Administration (Islamic Banking and Finance) with Honours,Faculty of Entrepreneurship and Business,Business Management & Administration,950,West
UMK,Bachelor of Entrepreneurship with Honours,Faculty of Entrepreneurship and Business,Business Management & Administration,950,West
UMK,Bachelor of Accounting with Honours,Faculty of Entrepreneurship and Business,Accounting & Finance,950,West
UMK,Bachelor of Science Statistics with Honours and Bachelor of Entrepreneurship (Logistics and Distributive Trade) with Honours,Faculty of Entrepreneurship and Business,Business Management & Administration,950,West
UMK,Doctor of Veterinary Medicine,Faculty of Veterinary Medicine,Medicine & Healthcare,1462,West
UMK,Bachelor of Entrepreneurship (Tourism) with Honours,"Faculty of Hospitality,Tourism and Wellness",Hospitality & Tourism,950,West
UMK,Bachelor of Entrepreneurship (Hospitality) with Honours,"Faculty of Hospitality,Tourism and Wellness",Hospitality & Tourism,950,West
UMK,Bachelor of Entrepreneurship (Wellness) with Honours,"Faculty of Hospitality,Tourism and Wellness",Hospitality & Tourism,950,West
UMK,Bachelor of Information Technology with Honours,Faculty of Data Science,Computing & IT,2130,West
UMK,Bachelor of Creative Technology with Honours,Faculty of Creative Technology and Heritage,Arts & Design,1150,West
UMK,Bachelor of Heritage Studies with Honours,Faculty of Creative Technology and Heritage,Science,1000,West
UMK,Bachelor of Science in Architecture with Honours,Faculty of Architecture and Ekistics,Architecture & Building,1150,West
UMK,Bachelor of Interior Architecture with Honours,Faculty of Architecture and Ekistics,Architecture & Building,1150,West
UMK,Bachelor of Landscape Architecture with Honours,Faculty of Architecture and Ekistics,Architecture & Building,1150,West
UMK,Bachelor of Business Communication with English (Honours),Faculty for Language Studies and Generic Development,Languages,950,West
UMK,Bachelor of Arabic Language with Entrepreneurship (Honors),Faculty for Language Studies and Generic Development,Languages,950,West
UMK,Bachelor of Applied Science (Agrotechnology) with Honours,Faculty of Agro-Based Industry,Science,1150,West
UMK,Bachelor of Applied Science (Husbandry Science) with Honours,Faculty of Agro-Based Industry,Science,1150,West
UMK,Bachelor of Applied Science (Product Development Technology) with Honours,Faculty of Agro-Based Industry,Science,1150,West
UMK,Bachelor of Applied Science (Food Security) with Honours,Faculty of Agro-Based Industry,Science,1150,West
UMK,Bachelor of Applied Science (Natural Resources Science) with Honours,Faculty of Earth Sciences,Science,1150,West
UMK,Bachelor of Applied Science (Geosciences) with Honours,Faculty of Earth Sciences,Science,1150,West
UMK,Bachelor of Applied Science (Sustainable Science) with Honours,Faculty of Earth Sciences,Science,1150,West
UMK,Bachelor of Applied Science (Bioindustrial Technology) with Honours,Faculty of Bioengineering and Technology,Science,1150,West
UMK,Bachelor of Applied Science (Material Science) with Honours,Faculty of Bioengineering and Technology,Science,1150,West
UMK,Bachelor of Applied Science (Forest Resources Technology) with Honours,Faculty of Bioengineering and Technology,Science,1150,West
UMP,"Bachelor of Engineering (Hons.) Automotive Engineering - (Collaboration Programme With HsKA, Germany)",College of Technology Engineering,Engineering,7000,West
UMP,"Bachelor of Engineering (Hons.) Mechatronic Engineering (Dual Degree programme with UMP-HsKA, Germany)",College of Technology Engineering,Engineering,7000,West
UMP,B.Eng (Hons.) Civil Engineering,College of Engineering,Engineering,740,West
UMP,B.Eng (Hons.) Chemical Engineering,College of Engineering,Engineering,740,West
UMP,B.Eng (Hons.) Electrical Engineering (Power System),College of Engineering,Engineering,740,West
UMP,B.Eng (Hons.) Manufacturing Engineering,College of Engineering,Engineering,740,West
UMP,B.Eng (Hons.) Mechanical Engineering,College of Engineering,Engineering,740,West
UMP,B.Eng (Hons.) Mechanical Engineering (Automotive),College of Engineering,Engineering,740,West
UMP,Bachelor of Chemical Engineering Technology With Hons.,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Manufacturing Engineering Technology (Pharmaceutical) With Hons.,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Mechanical Engineering Technology (Petroleum ) With Honours,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Engineering Technology (Infrastructure Management) With Hons.,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Engineering Technology (Energy & Environmental) With Hons.,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Mechanical Engineering Technology (Automotive) with Honours,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Mechanical Engineering Technology (Oil and Gas) with Honours,College of Technology Engineering,Engineering,740,West
UMP,Bachelor of Mechanical Engineering Technology (Design and Analysis) with Honours,College of Technology Engineering,Engineering,740,West
