University,Facilities
UMK,Accommodation
UMK,Sport Centre
UMK,Multipurpose Hall
UMK,Entreprenuer Hall
UMK,Experimental Hall
UMK,Activity Room (Student)
UMK,Marching Field
UMK,Cafeterias
UMK,Atm Machine
UMK,Shuttle Bus
UMK,WiFi
UMP,Acommodation
UMP,Student Centre
UMP,Hostel and Cafeterias
UMP,Lakes for water activities
UMP,Free WiFi
UMP,Library
UMP,Clinic
UMP,Multipurpose Hall
UMP,Cafeteria
UMP,Mosque
UNIMAP,Residential Colleges
UNIMAP,Bus Services
UNIMAP,Laboratories
UNIMAP,Library
UNIMAP,U-sikal Services
UNIMAP,Sport Centre
UNIMAP,Lecture halls
UNIMAP,Examination Halls
UNIMAP,Cafeterias
UNIMAP,Recreational Centre
UNIMAP,Engineering Centre
UNIMAP,Teaching Factory
UNIMAP,Agrotechnology Research Station
UNIMAS,Acommodation
UNIMAS,Library
UNIMAS,Sport Centre
UNIMAS,Atm Machine
UNIMAS,Mosque
UNIMAS,Multipurpose Hall
UNIMAS,Cafeterias
UNIMAS,Football Field
UNIMAS,Laboratories
UNIMAS,Research Centre
UMS,Accommodation
UMS,Library
UMS,Bursar
UMS,UMS Hospital
UMS,Security Division
UMS,Museum UMS
UMS,Sports Complex
UMS,Beach (ODEC)
UMS,Lecture Halls
UMS,UMS Mosque
UMS,Laboratories
UPM,Accomodation
UPM,Library
UPM,Sports Complex
UPM,Student Health Care
UPM,centre
UPM,Accommodation
UPM,Foodcourt
UPM,Gym
UPM,Sports Hall
UPM,Outdoor Swimming Pool
UPM,Football Stadium
UPM,Recreation Hall
UPM,Mosque
UPM,Bus
UPM,Clinic
UPM,Multipurpose Hall
UPM,Banking and Post Service
UPM,Veterinar Hospital
UPM,Security Services
UNISZA,Accomodation
UNISZA,Sports and Recreation
UNISZA,Library
UNISZA,Accommodation
UNISZA,Academic Facilities
UNISZA,Sport Centre
UNISZA,Gymnasium
UNISZA,Library
UNISZA,Mini Library in Medical Campus
UNISZA,Mosque
UNISZA,ATM Machines
UNISZA,Security Services
UTEM,Robotic & Automation Lab
UTEM,High voltage lab
UTEM,Thermodynamics & Technology Lab
UTEM,Instrumen lab
UTEM,Multimedia lab
UTEM,Smart lab
UTEM,Language lab
UTEM,Chemistry lab
UTEM,State-of-the-art Advanced Manufacturing Lab
UTEM,Cyber Hall
UTEM,Computer Centre
UTEM,Library
UTEM,Student Health Centre
UTEM,Mosque
UTEM,Sports Complex
UTEM,Students Activity Centre
UTEM,Shuttle Service
UTEM,Accomodation
UTEM,Wifi Spots
UUM,Computer Laboratories
UUM,Wireless Hotspots
UUM,Libraries
UUM,Student Residential Halls
UUM,Varsity Mall
UUM,Health Centre
